,label,position.x,position.y,position.z,dimensions.x,dimensions.y
71,Car,26.585,11.59,0.23,1.886,4.787
72,Car,42.636,53.989,0.477,2.077,4.951
73,Car,7.982,25.064,0.555,1.806,4.391
74,Car,107.962,123.061,0.766,2.195,4.524
75,Car,23.288,37.967,0.495,1.806,4.561
76,Car,96.527,111.099,0.676,2.195,4.524
77,Car,18.043,37.153,0.405,1.806,4.391
78,Pedestrian,24.921,53.989,0.899,0.946,1.081
79,Car,8.941,14.062,0.633,1.934,4.229
80,Car,137.012,143.486,0.477,2.411,4.905
81,Car,7.969,24.983,0.505,1.806,4.391
82,Car,26.55,11.556,0.23,1.815,4.816
83,Car,8.966,14.093,0.633,1.934,4.162
84,Car,89.275,103.978,0.332,1.794,4.436
85,Car,65.975,80.951,0.376,1.812,4.691
86,Car,17.887,36.946,0.405,1.806,4.391
87,Car,42.449,53.824,0.427,2.077,4.951
88,Car,118.103,132.696,0.53,2.195,4.524
89,Car,96.585,111.157,0.676,2.195,4.691
90,Pedestrian,24.94,53.967,0.888,0.956,0.985
91,Car,23.288,37.973,0.495,1.806,4.561
92,Car,20.759,31.401,0.591,1.867,4.629
93,Car,-60.458,-37.423,0.934,2.104,4.215
94,Car,26.281,36.583,0.451,1.867,4.689
95,Car,-44.205,-44.985,0.986,2.049,4.409
96,Car,-73.145,100.645,0.519,1.825,4.441
97,Car,82.091,107.072,0.679,1.99,4.386
98,Car,-30.673,-7.523,0.759,1.849,4.723
99,Car,-10.51,-9.632,0.817,1.94,4.302
100,Car,-4.897,10.883,0.569,1.756,4.441
101,Pedestrian,8.6,37.217,0.781,0.824,1.259
102,Car,-6.854,26.46,0.589,2.102,4.628
103,Car,34.919,-11.359,0.811,1.924,4.164
104,Car,53.396,-37.643,2.805,1.841,4.408
105,Car,52.289,-27.809,1.87,1.841,4.408
106,Car,-8.704,23.317,0.6,1.937,4.143
107,Car,114.658,116.61,0.221,1.983,4.2
108,Car,-19.084,33.955,0.658,2.17,4.835
109,Car,-13.885,28.142,0.481,2.044,4.381
110,Car,126.755,152.526,0.295,2.039,4.503
111,Car,-90.673,113.25,0.569,1.913,4.441
112,Car,33.649,-3.43,0.441,1.841,4.408
113,Car,125.363,127.323,0.321,1.983,4.2
114,Car,164.026,166.822,0.201,1.983,4.2
115,Car,138.981,141.251,0.221,1.983,4.2
116,Car,-50.918,83.069,-0.031,1.825,4.441
117,Car,-13.929,9.403,0.572,1.849,4.464
118,Car,106.6,131.627,0.454,2.039,4.503
119,Car,-39.8,-32.716,1.113,1.94,4.302
120,Car,-77.194,-72.599,1.013,1.94,4.302
121,Car,182.401,197.639,0.493,2.077,4.48
122,Car,-24.022,38.877,0.506,2.048,4.609
123,Car,20.917,7.334,0.399,1.884,4.162
124,Car,77.27,102.08,0.679,2.119,4.52
125,Car,-20.01,-19.278,0.763,1.94,4.302
126,Car,114.778,140.501,0.295,2.039,4.503
127,Car,61.753,62.483,0.282,2.039,4.669
128,Car,55.958,56.33,0.24,2.007,4.879
129,Pedestrian,-4.955,21.877,0.569,0.77,0.933
130,Car,111.411,136.687,0.345,2.039,4.503
131,Car,-22.066,1.282,0.631,1.768,4.339
132,Car,69.3,69.879,0.188,1.794,4.207
133,Car,77.817,78.463,0.23,1.815,3.695
134,Car,-6.015,-0.522,0.699,1.893,4.097
135,Car,85.008,85.754,0.343,1.858,3.593
136,Car,134.621,159.967,0.295,2.039,4.503
137,Car,86.889,-81.371,5.357,1.841,4.408
138,Car,46.45,-27.347,1.831,1.841,4.408
139,Car,-50.288,78.438,0.519,1.825,4.441
140,Car,152.975,179.175,0.295,2.039,4.503
141,Car,148.22,183.219,0.672,2.402,4.634
142,Car,86.425,111.36,0.461,1.853,4.24
143,Car,-48.145,71.189,0.459,1.756,4.441
144,Car,-64.358,-41.703,0.999,1.961,4.215
145,Car,65.525,66.295,0.119,1.682,4.226
146,Car,176.901,194.008,0.543,2.077,4.48
147,Car,30.894,-5.2,0.543,2.03,4.951
148,Car,-15.83,-10.302,0.794,1.836,4.204
149,Car,-18.269,4.736,0.539,1.809,4.76
150,Car,156.172,159.028,0.201,1.983,4.2
151,Car,-72.785,95.667,-0.021,1.825,4.441
152,Car,-56.308,79.257,0.459,1.756,4.441
153,Car,188.862,200.348,0.243,2.077,4.48
154,Car,81.12,81.989,0.29,1.915,4.2
155,Car,4.258,-6.027,0.372,1.841,5.174
156,Car,-39.265,-16.085,0.804,1.961,4.215
157,Car,96.07,121.35,0.513,2.039,4.31
158,Car,101.254,126.228,0.454,2.039,4.503
159,Car,90.591,115.466,0.513,2.021,4.24
160,Car,-23.454,-35.891,0.974,1.881,4.18
161,Car,65.532,80.495,0.326,1.812,4.691
162,Car,137.794,144.074,0.477,2.411,4.905
163,Car,117.522,132.072,0.646,2.195,4.524
164,Car,88.885,103.603,0.376,1.777,4.436
165,Car,26.527,11.801,0.23,1.886,4.787
166,Car,42.196,53.511,0.477,2.077,4.951
167,Car,7.359,24.357,0.555,1.806,4.391
168,Car,107.493,122.594,0.764,2.195,4.524
169,Car,23.069,37.743,0.495,1.806,4.561
170,Car,96.139,110.702,0.676,2.195,4.524
171,Car,17.5,36.585,0.405,1.806,4.391
172,Pedestrian,24.776,53.857,0.899,0.946,1.081
173,Car,9.519,14.655,0.617,1.934,4.229
174,Car,137.731,144.199,0.477,2.411,4.905
175,Car,7.203,24.149,0.505,1.806,4.391
176,Car,107.517,122.485,0.526,2.195,4.524
177,Car,26.481,11.819,0.23,1.815,4.816
178,Car,9.563,14.695,0.615,1.934,4.162
179,Car,88.756,103.451,0.332,1.794,4.436
180,Car,65.392,80.313,0.376,1.812,4.691
181,Car,17.23,36.268,0.405,1.806,4.391
182,Car,175.897,187.956,0.493,2.077,4.48
183,Car,41.935,53.267,0.427,2.077,4.951
184,Car,117.565,132.167,0.532,2.195,4.524
185,Car,96.099,110.661,0.676,2.195,4.691
186,Pedestrian,24.774,53.814,0.888,0.956,0.985
187,Car,22.773,37.446,0.482,1.806,4.561
188,Car,20.759,31.401,0.591,1.867,4.629
189,Car,-60.458,-37.423,0.934,2.104,4.215
190,Car,26.281,36.583,0.451,1.867,4.689
191,Car,-44.205,-44.985,0.986,2.049,4.409
192,Car,-73.695,101.262,0.519,1.825,4.441
193,Car,82.091,107.072,0.679,1.99,4.386
194,Car,-30.673,-7.523,0.759,1.849,4.723
195,Car,-10.121,-9.244,0.811,1.94,4.302
196,Car,-5.587,10.115,0.579,1.756,4.441
197,Pedestrian,8.477,37.101,0.781,0.824,1.259
198,Car,-6.854,26.46,0.589,2.102,4.628
199,Car,34.919,-11.359,0.811,1.924,4.164
200,Car,53.132,-37.241,2.76,1.841,4.408
201,Car,51.662,-26.971,1.825,1.841,4.408
202,Car,-8.704,23.317,0.6,1.937,4.143
203,Car,114.658,116.61,0.221,1.983,4.2
204,Car,-19.084,33.955,0.658,2.17,4.835
205,Car,-13.885,28.142,0.481,2.044,4.381
206,Car,126.755,152.526,0.295,2.039,4.503
207,Car,-90.825,113.401,0.576,1.913,4.441
208,Car,-47.74,58.198,0.226,1.913,4.441
209,Car,33.26,-2.811,0.441,1.841,4.408
210,Car,63.559,-50.706,3.543,1.841,4.408
211,Car,125.363,127.323,0.321,1.983,4.2
212,Car,164.026,166.822,0.201,1.983,4.2
213,Car,138.981,141.251,0.221,1.983,4.2
214,Car,-51.938,84.072,-0.031,1.825,4.441
215,Car,-13.929,9.403,0.572,1.849,4.464
216,Car,106.6,131.627,0.454,2.039,4.503
217,Car,-39.364,-32.33,1.113,1.94,4.302
218,Car,-76.033,-71.502,1.013,1.94,4.302
219,Car,182.401,197.639,0.493,2.077,4.48
220,Car,-24.022,38.877,0.506,2.048,4.609
221,Car,20.917,7.334,0.399,1.884,4.162
222,Car,77.27,102.08,0.679,2.119,4.52
223,Car,-19.963,-19.231,0.763,1.94,4.302
224,Car,114.778,140.501,0.295,2.039,4.503
225,Car,61.753,62.483,0.282,2.039,4.669
226,Car,55.958,56.33,0.24,2.007,4.879
227,Pedestrian,-4.867,21.963,0.569,0.77,0.933
228,Car,111.411,136.687,0.345,2.039,4.503
229,Car,-22.066,1.282,0.631,1.768,4.339
230,Car,69.3,69.879,0.188,1.794,4.207
231,Car,77.817,78.463,0.23,1.815,3.695
232,Car,-5.567,-0.069,0.699,1.893,4.097
233,Car,85.008,85.754,0.343,1.858,3.593
234,Car,134.621,159.967,0.295,2.039,4.503
235,Car,86.567,-80.937,5.302,1.841,4.408
236,Car,46.353,-27.245,1.831,1.841,4.408
237,Car,-50.835,78.949,0.519,1.825,4.441
238,Car,152.975,179.175,0.295,2.039,4.503
239,Car,148.22,183.219,0.672,2.402,4.634
240,Car,86.425,111.36,0.461,1.853,4.24
241,Car,-48.743,71.793,0.459,1.756,4.441
242,Car,-64.358,-41.703,0.999,1.961,4.215
243,Car,65.525,66.295,0.119,1.682,4.226
244,Car,176.901,194.008,0.543,2.077,4.48
245,Car,30.894,-5.2,0.543,2.03,4.951
246,Car,-100.071,121.406,0.419,1.825,4.441
247,Car,-15.546,-10.011,0.794,1.836,4.204
248,Car,-18.269,4.736,0.539,1.809,4.76
249,Car,156.172,159.028,0.201,1.983,4.2
250,Car,-73.36,96.229,0.002,1.825,4.441
251,Car,-56.9,79.821,0.459,1.756,4.441
252,Car,188.862,200.348,0.243,2.077,4.48
253,Car,81.12,81.989,0.29,1.915,4.2
254,Car,4.956,-6.079,0.372,1.841,5.174
255,Car,-39.265,-16.085,0.804,1.961,4.215
256,Car,96.07,121.35,0.513,2.039,4.31
257,Car,101.254,126.228,0.454,2.039,4.503
258,Car,90.591,115.466,0.513,2.021,4.24
259,Car,-23.454,-35.891,0.974,1.881,4.18
260,Car,64.901,79.799,0.326,1.812,4.691
261,Car,138.508,144.794,0.477,2.411,4.905
262,Car,116.913,131.471,0.64,2.195,4.524
263,Car,88.471,103.186,0.376,1.777,4.436
264,Car,26.469,12.013,0.229,1.886,4.787
265,Car,41.756,53.033,0.477,2.077,4.951
266,Car,6.735,23.651,0.555,1.806,4.391
267,Car,107.024,122.127,0.762,2.195,4.524
268,Car,22.575,37.238,0.495,1.806,4.561
269,Car,95.75,110.305,0.676,2.195,4.524
270,Car,16.958,36.017,0.405,1.806,4.391
271,Pedestrian,24.63,53.725,0.898,0.946,1.081
272,Car,10.097,15.247,0.601,1.934,4.229
273,Car,138.45,144.913,0.477,2.411,4.905
274,Car,6.743,23.648,0.505,1.806,4.391
275,Car,107.022,122.0,0.53,2.195,4.524
276,Car,26.426,12.043,0.23,1.815,4.816
277,Car,10.16,15.297,0.597,1.934,4.162
278,Car,88.315,103.003,0.332,1.794,4.436
279,Car,64.663,79.514,0.376,1.812,4.691
280,Car,16.672,35.692,0.405,1.806,4.391
281,Car,175.917,187.977,0.493,2.077,4.48
282,Car,41.498,52.793,0.427,2.077,4.951
283,Car,117.027,131.638,0.534,2.195,4.524
284,Car,95.686,110.238,0.676,2.195,4.691
285,Pedestrian,24.633,53.684,0.888,0.956,0.985
286,Car,22.335,36.998,0.472,1.806,4.561
287,Car,20.759,31.401,0.591,1.867,4.629
288,Car,-60.458,-37.423,0.934,2.104,4.215
289,Car,26.281,36.583,0.451,1.867,4.689
290,Car,-44.205,-44.985,0.986,2.049,4.409
291,Car,-74.366,102.016,0.519,1.825,4.441
292,Car,82.091,107.072,0.679,1.99,4.386
293,Car,-30.673,-7.523,0.759,1.849,4.723
294,Car,-9.731,-8.856,0.805,1.94,4.302
295,Car,-6.277,9.346,0.589,1.756,4.441
296,Pedestrian,8.356,36.982,0.781,0.824,1.259
297,Car,-6.854,26.46,0.589,2.102,4.628
298,Car,34.919,-11.359,0.811,1.924,4.164
299,Car,52.89,-36.873,2.718,1.841,4.408
300,Car,51.088,-26.202,1.783,1.841,4.408
301,Car,-8.704,23.317,0.6,1.937,4.143
302,Car,114.658,116.61,0.221,1.983,4.2
303,Car,-19.084,33.955,0.658,2.17,4.835
304,Car,-13.885,28.142,0.481,2.044,4.381
305,Car,126.755,152.526,0.295,2.039,4.503
306,Car,-91.128,113.702,0.591,1.913,4.441
307,Car,-46.987,57.462,0.226,1.913,4.441
308,Car,32.892,-2.224,0.441,1.841,4.408
309,Car,63.375,-50.454,3.537,1.841,4.408
310,Car,125.363,127.323,0.321,1.983,4.2
311,Car,164.026,166.822,0.201,1.983,4.2
312,Car,138.981,141.251,0.221,1.983,4.2
313,Car,-52.872,84.992,-0.031,1.825,4.441
314,Car,-13.929,9.403,0.572,1.849,4.464
315,Car,106.6,131.627,0.454,2.039,4.503
316,Car,-38.928,-31.943,1.113,1.94,4.302
317,Car,-74.969,-70.495,1.013,1.94,4.302
318,Car,182.401,197.639,0.493,2.077,4.48
319,Car,-24.022,38.877,0.506,2.048,4.609
320,Car,20.917,7.334,0.399,1.884,4.162
321,Car,77.27,102.08,0.679,2.119,4.52
322,Car,-19.92,-19.189,0.763,1.94,4.302
323,Car,114.778,140.501,0.295,2.039,4.503
324,Car,61.753,62.483,0.282,2.039,4.669
325,Car,55.958,56.33,0.24,2.007,4.879
326,Pedestrian,-4.779,22.05,0.569,0.77,0.933
327,Car,111.411,136.687,0.345,2.039,4.503
328,Car,-22.066,1.282,0.631,1.768,4.339
329,Car,69.3,69.879,0.188,1.794,4.207
330,Car,77.817,78.463,0.23,1.815,3.695
331,Car,-5.12,0.385,0.699,1.893,4.097
332,Car,85.008,85.754,0.343,1.858,3.593
333,Car,134.621,159.967,0.295,2.039,4.503
334,Car,86.271,-80.539,5.251,1.841,4.408
335,Car,46.158,-27.042,1.831,1.841,4.408
336,Car,-51.338,79.417,0.519,1.825,4.441
337,Car,152.975,179.175,0.295,2.039,4.503
338,Car,148.22,183.219,0.672,2.402,4.634
339,Car,86.425,111.36,0.461,1.853,4.24
340,Car,-49.287,72.351,0.459,1.756,4.441
341,Car,-64.358,-41.703,0.999,1.961,4.215
342,Car,65.525,66.295,0.119,1.682,4.226
343,Car,176.901,194.008,0.543,2.077,4.48
344,Car,30.894,-5.2,0.543,2.03,4.951
345,Car,-100.241,121.581,0.419,1.825,4.441
346,Car,-15.262,-9.721,0.794,1.836,4.204
347,Car,-129.967,145.578,0.769,1.825,4.441
348,Car,-18.269,4.736,0.539,1.809,4.76
349,Car,156.172,159.028,0.201,1.983,4.2
350,Car,-73.887,96.744,0.022,1.825,4.441
351,Car,-57.444,80.338,0.459,1.756,4.441
352,Car,188.862,200.348,0.243,2.077,4.48
353,Car,81.12,81.989,0.29,1.915,4.2
354,Car,5.594,-6.154,0.372,1.841,5.174
355,Car,-39.265,-16.085,0.804,1.961,4.215
356,Car,96.07,121.35,0.513,2.039,4.31
357,Car,101.254,126.228,0.454,2.039,4.503
358,Car,90.591,115.466,0.513,2.021,4.24
359,Car,-23.454,-35.891,0.974,1.881,4.18
360,Car,64.27,79.102,0.326,1.812,4.691
361,Car,139.221,145.513,0.477,2.411,4.905
362,Car,116.415,130.979,0.634,2.195,4.524
363,Car,88.057,102.769,0.376,1.777,4.436
364,Car,26.411,12.224,0.229,1.886,4.787
365,Car,41.315,52.555,0.477,2.077,4.951
366,Car,6.111,22.945,0.555,1.806,4.391
367,Car,106.556,121.66,0.76,2.195,4.524
368,Car,22.123,36.776,0.495,1.806,4.561
369,Car,95.362,109.907,0.676,2.195,4.524
370,Car,16.415,35.449,0.405,1.806,4.391
371,Pedestrian,24.484,53.592,0.898,0.946,1.081
372,Car,10.711,15.875,0.585,1.934,4.229
373,Car,139.17,145.627,0.477,2.411,4.905
374,Car,106.528,121.514,0.534,2.195,4.524
375,Car,26.376,12.259,0.23,1.815,4.816
376,Car,10.757,15.898,0.579,1.934,4.162
377,Car,87.892,102.574,0.332,1.794,4.436
378,Car,64.043,78.835,0.376,1.812,4.691
379,Car,16.138,35.141,0.405,1.806,4.391
380,Car,175.937,187.997,0.493,2.077,4.48
381,Car,41.081,52.341,0.427,2.077,4.951
382,Car,116.489,131.109,0.536,2.195,4.524
383,Car,95.292,109.835,0.676,2.195,4.691
384,Pedestrian,24.541,53.6,0.888,0.956,0.985
385,Car,21.916,36.569,0.461,1.806,4.561
386,Car,20.759,31.401,0.591,1.867,4.629
387,Car,-60.458,-37.423,0.934,2.104,4.215
388,Car,26.281,36.583,0.451,1.867,4.689
389,Car,-44.205,-44.985,0.986,2.049,4.409
390,Car,-74.527,102.191,0.519,1.825,4.441
391,Car,82.091,107.072,0.679,1.99,4.386
392,Car,-30.673,-7.523,0.759,1.849,4.723
393,Car,-9.342,-8.468,0.799,1.94,4.302
394,Car,-6.967,8.577,0.599,1.756,4.441
395,Pedestrian,8.238,36.861,0.781,0.824,1.259
396,Car,-6.854,26.46,0.589,2.102,4.628
397,Car,34.919,-11.359,0.811,1.924,4.164
398,Car,52.654,-36.514,2.678,1.841,4.408
399,Car,50.338,-25.199,1.73,1.841,4.408
400,Car,-8.704,23.317,0.6,1.937,4.143
401,Car,114.658,116.61,0.221,1.983,4.2
402,Car,-136.43,138.121,0.169,1.825,4.441
403,Car,-19.084,33.955,0.658,2.17,4.835
404,Car,-13.885,28.142,0.481,2.044,4.381
405,Car,126.755,152.526,0.295,2.039,4.503
406,Car,-91.432,114.004,0.605,1.913,4.441
407,Car,-45.48,55.989,0.226,1.913,4.441
408,Car,32.532,-1.651,0.441,1.841,4.408
409,Car,63.005,-49.951,3.526,1.841,4.408
410,Car,125.363,127.323,0.321,1.983,4.2
411,Car,164.026,166.822,0.201,1.983,4.2
412,Car,138.981,141.251,0.221,1.983,4.2
413,Car,-53.786,85.891,-0.031,1.825,4.441
414,Car,-13.929,9.403,0.572,1.849,4.464
415,Car,106.6,131.627,0.454,2.039,4.503
416,Car,-38.492,-31.556,1.113,1.94,4.302
417,Car,-73.929,-69.511,1.013,1.94,4.302
418,Car,182.401,197.639,0.493,2.077,4.48
419,Car,-24.022,38.877,0.506,2.048,4.609
420,Car,20.917,7.334,0.399,1.884,4.162
421,Car,77.27,102.08,0.679,2.119,4.52
422,Car,-19.877,-19.147,0.763,1.94,4.302
423,Car,114.778,140.501,0.295,2.039,4.503
424,Car,61.753,62.483,0.282,2.039,4.669
425,Car,55.958,56.33,0.24,2.007,4.879
426,Pedestrian,-4.69,22.137,0.569,0.77,0.933
427,Car,111.411,136.687,0.345,2.039,4.503
428,Car,-22.066,1.282,0.631,1.768,4.339
429,Car,69.3,69.879,0.188,1.794,4.207
430,Car,77.817,78.463,0.23,1.815,3.695
431,Car,-4.673,0.839,0.699,1.893,4.097
432,Car,85.008,85.754,0.343,1.858,3.593
433,Car,134.621,159.967,0.295,2.039,4.503
434,Car,85.983,-80.15,5.202,1.841,4.408
435,Car,45.963,-26.839,1.831,1.841,4.408
436,Car,-51.828,79.876,0.519,1.825,4.441
437,Car,152.975,179.175,0.295,2.039,4.503
438,Car,148.22,183.219,0.672,2.402,4.634
439,Car,86.425,111.36,0.461,1.853,4.24
440,Car,-49.996,73.08,0.459,1.756,4.441
441,Car,-64.358,-41.703,0.999,1.961,4.215
442,Car,65.525,66.295,0.119,1.682,4.226
443,Car,176.901,194.008,0.543,2.077,4.48
444,Car,30.894,-5.2,0.543,2.03,4.951
445,Car,-100.583,121.932,0.419,1.825,4.441
446,Car,-14.977,-9.43,0.794,1.836,4.204
447,Car,-129.712,145.842,0.769,1.825,4.441
448,Car,-18.269,4.736,0.539,1.809,4.76
449,Car,156.172,159.028,0.201,1.983,4.2
450,Car,-74.403,97.248,0.043,1.825,4.441
451,Car,-57.975,80.843,0.459,1.756,4.441
452,Car,188.862,200.348,0.243,2.077,4.48
453,Car,81.12,81.989,0.29,1.915,4.2
454,Car,6.215,-6.247,0.372,1.841,5.174
455,Car,-39.265,-16.085,0.804,1.961,4.215
456,Car,96.07,121.35,0.513,2.039,4.31
457,Car,101.254,126.228,0.454,2.039,4.503
458,Car,90.591,115.466,0.513,2.021,4.24
459,Car,-23.454,-35.891,0.974,1.881,4.18
460,Car,63.639,78.405,0.326,1.812,4.691
461,Car,139.935,146.233,0.477,2.411,4.905
462,Car,115.916,130.487,0.628,2.195,4.524
463,Car,87.643,102.351,0.376,1.777,4.436
464,Car,26.353,12.435,0.229,1.886,4.787
465,Car,40.875,52.076,0.477,2.077,4.951
466,Car,5.486,22.238,0.555,1.806,4.391
467,Car,106.087,121.193,0.758,2.195,4.524
468,Car,21.533,36.172,0.495,1.806,4.561
469,Car,94.974,109.51,0.676,2.195,4.524
470,Car,15.871,34.881,0.405,1.806,4.391
471,Pedestrian,24.339,53.46,0.897,0.946,1.081
472,Car,11.324,16.503,0.569,1.934,4.229
473,Car,139.889,146.341,0.477,2.411,4.905
474,Car,106.034,121.028,0.538,2.195,4.524
475,Car,26.327,12.472,0.23,1.815,4.816
476,Car,11.354,16.5,0.561,1.934,4.162
477,Car,87.475,102.151,0.332,1.794,4.436
478,Car,63.45,78.186,0.376,1.812,4.691
479,Car,15.61,34.596,0.405,1.806,4.391
480,Car,175.957,188.017,0.493,2.077,4.48
481,Car,40.667,51.893,0.427,2.077,4.951
482,Car,115.951,130.58,0.538,2.195,4.524
483,Car,94.901,109.435,0.676,2.195,4.691
484,Pedestrian,24.416,53.486,0.888,0.956,0.985
485,Car,21.501,36.146,0.451,1.806,4.561
486,Car,20.759,31.401,0.591,1.867,4.629
487,Car,-60.458,-37.423,0.934,2.104,4.215
488,Car,26.281,36.583,0.451,1.867,4.689
489,Car,-44.205,-44.985,0.986,2.049,4.409
490,Car,-74.89,102.583,0.519,1.825,4.441
491,Car,82.091,107.072,0.679,1.99,4.386
492,Car,-30.673,-7.523,0.759,1.849,4.723
493,Car,-8.952,-8.08,0.793,1.94,4.302
494,Car,-7.657,7.808,0.609,1.756,4.441
495,Pedestrian,8.12,36.739,0.781,0.824,1.259
496,Car,-6.854,26.46,0.589,2.102,4.628
497,Car,34.919,-11.359,0.811,1.924,4.164
498,Car,52.419,-36.156,2.638,1.841,4.408
499,Car,50.118,-24.905,1.71,1.841,4.408
500,Car,-8.704,23.317,0.6,1.937,4.143
501,Car,114.658,116.61,0.221,1.983,4.2
502,Car,-135.97,138.311,0.169,1.825,4.441
503,Car,-19.084,33.955,0.658,2.17,4.835
504,Car,-13.885,28.142,0.481,2.044,4.381
505,Car,126.755,152.526,0.295,2.039,4.503
506,Car,-91.735,114.305,0.619,1.913,4.441
507,Car,-44.907,55.428,0.226,1.913,4.441
508,Car,32.096,-0.956,0.441,1.841,4.408
509,Car,62.635,-49.448,3.515,1.841,4.408
510,Car,125.363,127.323,0.321,1.983,4.2
511,Car,164.026,166.822,0.201,1.983,4.2
512,Car,138.981,141.251,0.221,1.983,4.2
513,Car,-54.694,86.785,-0.031,1.825,4.441
514,Car,-13.929,9.403,0.572,1.849,4.464
515,Car,106.6,131.627,0.454,2.039,4.503
516,Car,-38.056,-31.169,1.113,1.94,4.302
517,Car,-72.549,-68.206,1.013,1.94,4.302
518,Car,182.401,197.639,0.493,2.077,4.48
519,Car,-24.022,38.877,0.506,2.048,4.609
520,Car,20.917,7.334,0.399,1.884,4.162
521,Car,77.27,102.08,0.679,2.119,4.52
522,Car,-19.821,-19.091,0.763,1.94,4.302
523,Car,114.778,140.501,0.295,2.039,4.503
524,Car,61.753,62.483,0.282,2.039,4.669
525,Car,55.958,56.33,0.24,2.007,4.879
526,Pedestrian,-4.602,22.224,0.569,0.77,0.933
527,Car,111.411,136.687,0.345,2.039,4.503
528,Car,-22.066,1.282,0.631,1.768,4.339
529,Car,69.3,69.879,0.188,1.794,4.207
530,Car,77.817,78.463,0.23,1.815,3.695
531,Car,-4.226,1.294,0.699,1.893,4.097
532,Car,85.008,85.754,0.343,1.858,3.593
533,Car,134.621,159.967,0.295,2.039,4.503
534,Car,85.696,-79.763,5.153,1.841,4.408
535,Car,45.85,-26.734,1.82,1.841,4.408
536,Car,-52.479,80.483,0.519,1.825,4.441
537,Car,152.975,179.175,0.295,2.039,4.503
538,Car,148.22,183.219,0.672,2.402,4.634
539,Car,86.425,111.36,0.461,1.853,4.24
540,Car,-50.234,73.336,0.459,1.756,4.441
541,Car,-64.358,-41.703,0.999,1.961,4.215
